account_id,account_number_masked,bank_name,person_id,city,currency
ACC_0001,XX000001,Bank of Baroda,SYN_P_0001,Bengaluru,INR
ACC_0002,XX000002,HDFC Bank,SYN_P_0002,Dehradun,INR
ACC_0003,XX000003,HDFC Bank,SYN_P_0003,Indore,INR
ACC_0004,XX000004,State Bank of India,SYN_P_0004,Kolkata,INR
ACC_0005,XX000005,Bank of Baroda,SYN_P_0005,Kolkata,INR
ACC_0006,XX000006,State Bank of India,SYN_P_0006,Chandigarh,INR
ACC_0007,XX000007,Axis Bank,SYN_P_0007,Bhubaneswar,INR
ACC_0008,XX000008,Bank of Baroda,SYN_P_0008,Noida,INR
ACC_0009,XX000009,Axis Bank,SYN_P_0009,Kolkata,INR
ACC_0010,XX000010,ICICI Bank,SYN_P_0010,Bengaluru,INR
ACC_0011,XX000011,HDFC Bank,SYN_P_0011,Kanpur,INR
ACC_0012,XX000012,Bank of Baroda,SYN_P_0012,Hyderabad,INR
ACC_0013,XX000013,HDFC Bank,SYN_P_0013,Indore,INR
ACC_0014,XX000014,State Bank of India,SYN_P_0014,Bhubaneswar,INR
ACC_0015,XX000015,HDFC Bank,SYN_P_0015,Bhopal,INR
ACC_0016,XX000016,Bank of Baroda,SYN_P_0016,Nagpur,INR
ACC_0017,XX000017,Axis Bank,SYN_P_0017,Lucknow,INR
ACC_0018,XX000018,Axis Bank,SYN_P_0018,Patna,INR
ACC_0019,XX000019,State Bank of India,SYN_P_0019,Chandigarh,INR
ACC_0020,XX000020,State Bank of India,SYN_P_0020,Noida,INR
ACC_0021,XX000021,Punjab National Bank,SYN_P_0021,Kolkata,INR
ACC_0022,XX000022,ICICI Bank,SYN_P_0022,Ranchi,INR
ACC_0023,XX000023,State Bank of India,SYN_P_0023,Meerut,INR
ACC_0024,XX000024,State Bank of India,SYN_P_0024,Jaipur,INR
ACC_0025,XX000025,Bank of Baroda,SYN_P_0025,Delhi,INR
ACC_0026,XX000026,State Bank of India,SYN_P_0026,Surat,INR
ACC_0027,XX000027,Axis Bank,SYN_P_0027,Mumbai,INR
ACC_0028,XX000028,ICICI Bank,SYN_P_0028,Ahmedabad,INR
ACC_0029,XX000029,Punjab National Bank,SYN_P_0029,Lucknow,INR
ACC_0030,XX000030,Bank of Baroda,SYN_P_0030,Ahmedabad,INR
ACC_0031,XX000031,State Bank of India,SYN_P_0031,Ranchi,INR
ACC_0032,XX000032,HDFC Bank,SYN_P_0032,Jaipur,INR
ACC_0033,XX000033,ICICI Bank,SYN_P_0033,Ahmedabad,INR
ACC_0034,XX000034,State Bank of India,SYN_P_0034,Hyderabad,INR
ACC_0035,XX000035,Bank of Baroda,SYN_P_0035,Bhopal,INR
ACC_0036,XX000036,Axis Bank,SYN_P_0036,Bengaluru,INR
ACC_0037,XX000037,Axis Bank,SYN_P_0037,Bhubaneswar,INR
ACC_0038,XX000038,HDFC Bank,SYN_P_0038,Bhubaneswar,INR
ACC_0039,XX000039,Bank of Baroda,SYN_P_0039,Noida,INR
ACC_0040,XX000040,Punjab National Bank,SYN_P_0040,Ranchi,INR
ACC_0041,XX000041,Punjab National Bank,SYN_P_0041,Lucknow,INR
ACC_0042,XX000042,HDFC Bank,SYN_P_0042,Hyderabad,INR
ACC_0043,XX000043,HDFC Bank,SYN_P_0043,Jaipur,INR
ACC_0044,XX000044,ICICI Bank,SYN_P_0044,Chennai,INR
ACC_0045,XX000045,Axis Bank,SYN_P_0045,Mumbai,INR
ACC_0046,XX000046,Axis Bank,SYN_P_0046,Patna,INR
ACC_0047,XX000047,Bank of Baroda,SYN_P_0047,Bengaluru,INR
ACC_0048,XX000048,ICICI Bank,SYN_P_0048,Hyderabad,INR
ACC_0049,XX000049,HDFC Bank,SYN_P_0049,Nagpur,INR
ACC_0050,XX000050,HDFC Bank,SYN_P_0050,Mumbai,INR
ACC_0051,XX000051,Bank of Baroda,SYN_P_0051,Kanpur,INR
ACC_0052,XX000052,HDFC Bank,SYN_P_0052,Surat,INR
ACC_0053,XX000053,Axis Bank,SYN_P_0053,Chennai,INR
ACC_0054,XX000054,Punjab National Bank,SYN_P_0054,Mumbai,INR
ACC_0055,XX000055,HDFC Bank,SYN_P_0055,Chennai,INR
ACC_0056,XX000056,State Bank of India,SYN_P_0056,Pune,INR
ACC_0057,XX000057,Punjab National Bank,SYN_P_0057,Patna,INR
ACC_0058,XX000058,State Bank of India,SYN_P_0058,Bhubaneswar,INR
ACC_0059,XX000059,Bank of Baroda,SYN_P_0059,Patna,INR
ACC_0060,XX000060,Bank of Baroda,SYN_P_0060,Indore,INR
ACC_0061,XX000061,State Bank of India,SYN_P_0061,Ranchi,INR
ACC_0062,XX000062,HDFC Bank,SYN_P_0062,Dehradun,INR
ACC_0063,XX000063,State Bank of India,SYN_P_0063,Bhopal,INR
ACC_0064,XX000064,HDFC Bank,SYN_P_0064,Bengaluru,INR
ACC_0065,XX000065,State Bank of India,SYN_P_0065,Jaipur,INR
ACC_0066,XX000066,ICICI Bank,SYN_P_0066,Chandigarh,INR
ACC_0067,XX000067,Axis Bank,SYN_P_0067,Dehradun,INR
ACC_0068,XX000068,Punjab National Bank,SYN_P_0068,Chennai,INR
ACC_0069,XX000069,Punjab National Bank,SYN_P_0069,Haridwar,INR
ACC_0070,XX000070,State Bank of India,SYN_P_0070,Chandigarh,INR
ACC_0071,XX000071,ICICI Bank,SYN_P_0071,Haridwar,INR
ACC_0072,XX000072,HDFC Bank,SYN_P_0072,Haridwar,INR
ACC_0073,XX000073,Bank of Baroda,SYN_P_0073,Ranchi,INR
ACC_0074,XX000074,Bank of Baroda,SYN_P_0074,Jaipur,INR
ACC_0075,XX000075,Bank of Baroda,SYN_P_0075,Ranchi,INR
ACC_0076,XX000076,Bank of Baroda,SYN_P_0076,Ranchi,INR
ACC_0077,XX000077,Punjab National Bank,SYN_P_0077,Bengaluru,INR
ACC_0078,XX000078,Axis Bank,SYN_P_0078,Mumbai,INR
ACC_0079,XX000079,HDFC Bank,SYN_P_0079,Bengaluru,INR
ACC_0080,XX000080,HDFC Bank,SYN_P_0080,Pune,INR
ACC_0081,XX000081,Punjab National Bank,SYN_P_0081,Chennai,INR
ACC_0082,XX000082,Axis Bank,SYN_P_0082,Bhubaneswar,INR
ACC_0083,XX000083,Punjab National Bank,SYN_P_0083,Dehradun,INR
ACC_0084,XX000084,ICICI Bank,SYN_P_0084,Haridwar,INR
ACC_0085,XX000085,ICICI Bank,SYN_P_0085,Meerut,INR
ACC_0086,XX000086,Punjab National Bank,SYN_P_0086,Kolkata,INR
ACC_0087,XX000087,Punjab National Bank,SYN_P_0087,Patna,INR
ACC_0088,XX000088,HDFC Bank,SYN_P_0088,Chennai,INR
ACC_0089,XX000089,State Bank of India,SYN_P_0089,Nagpur,INR
ACC_0090,XX000090,Axis Bank,SYN_P_0090,Nagpur,INR
ACC_0091,XX000091,Axis Bank,SYN_P_0091,Pune,INR
ACC_0092,XX000092,Bank of Baroda,SYN_P_0092,Lucknow,INR
ACC_0093,XX000093,Axis Bank,SYN_P_0093,Haridwar,INR
ACC_0094,XX000094,State Bank of India,SYN_P_0094,Noida,INR
ACC_0095,XX000095,Punjab National Bank,SYN_P_0095,Haridwar,INR
ACC_0096,XX000096,State Bank of India,SYN_P_0096,Ranchi,INR
ACC_0097,XX000097,HDFC Bank,SYN_P_0097,Ghaziabad,INR
ACC_0098,XX000098,Punjab National Bank,SYN_P_0098,Pune,INR
ACC_0099,XX000099,ICICI Bank,SYN_P_0099,Surat,INR
ACC_0100,XX000100,State Bank of India,SYN_P_0100,Indore,INR
ACC_0101,XX000101,State Bank of India,SYN_P_0101,Dehradun,INR
ACC_0102,XX000102,Axis Bank,SYN_P_0102,Bhubaneswar,INR
ACC_0103,XX000103,HDFC Bank,SYN_P_0103,Bengaluru,INR
ACC_0104,XX000104,State Bank of India,SYN_P_0104,Jaipur,INR
ACC_0105,XX000105,Punjab National Bank,SYN_P_0105,Jaipur,INR
ACC_0106,XX000106,Punjab National Bank,SYN_P_0106,Chennai,INR
ACC_0107,XX000107,ICICI Bank,SYN_P_0107,Dehradun,INR
ACC_0108,XX000108,State Bank of India,SYN_P_0108,Chennai,INR
ACC_0109,XX000109,HDFC Bank,SYN_P_0109,Ranchi,INR
ACC_0110,XX000110,ICICI Bank,SYN_P_0110,Dehradun,INR
ACC_0111,XX000111,ICICI Bank,SYN_P_0111,Lucknow,INR
ACC_0112,XX000112,Axis Bank,SYN_P_0112,Meerut,INR
ACC_0113,XX000113,Bank of Baroda,SYN_P_0113,Bhopal,INR
ACC_0114,XX000114,ICICI Bank,SYN_P_0114,Bhubaneswar,INR
ACC_0115,XX000115,State Bank of India,SYN_P_0115,Kolkata,INR
ACC_0116,XX000116,HDFC Bank,SYN_P_0116,Chandigarh,INR
ACC_0117,XX000117,ICICI Bank,SYN_P_0117,Chandigarh,INR
ACC_0118,XX000118,State Bank of India,SYN_P_0118,Noida,INR
ACC_0119,XX000119,Punjab National Bank,SYN_P_0119,Patna,INR
ACC_0120,XX000120,Punjab National Bank,SYN_P_0120,Hyderabad,INR
ACC_0121,XX000121,HDFC Bank,SYN_P_0121,Chandigarh,INR
ACC_0122,XX000122,Punjab National Bank,SYN_P_0122,Indore,INR
ACC_0123,XX000123,Punjab National Bank,SYN_P_0123,Chandigarh,INR
ACC_0124,XX000124,Punjab National Bank,SYN_P_0124,Noida,INR
ACC_0125,XX000125,ICICI Bank,SYN_P_0125,Meerut,INR
ACC_0126,XX000126,Axis Bank,SYN_P_0126,Ahmedabad,INR
ACC_0127,XX000127,Punjab National Bank,SYN_P_0127,Mumbai,INR
ACC_0128,XX000128,State Bank of India,SYN_P_0128,Ranchi,INR
ACC_0129,XX000129,Punjab National Bank,SYN_P_0129,Bengaluru,INR
ACC_0130,XX000130,Bank of Baroda,SYN_P_0130,Meerut,INR
ACC_0131,XX000131,State Bank of India,SYN_P_0131,Patna,INR
ACC_0132,XX000132,Punjab National Bank,SYN_P_0132,Lucknow,INR
ACC_0133,XX000133,Axis Bank,SYN_P_0133,Delhi,INR
ACC_0134,XX000134,ICICI Bank,SYN_P_0134,Chennai,INR
ACC_0135,XX000135,Bank of Baroda,SYN_P_0135,Kanpur,INR
ACC_0136,XX000136,State Bank of India,SYN_P_0136,Ahmedabad,INR
ACC_0137,XX000137,State Bank of India,SYN_P_0137,Indore,INR
ACC_0138,XX000138,ICICI Bank,SYN_P_0138,Bengaluru,INR
ACC_0139,XX000139,Axis Bank,SYN_P_0139,Bengaluru,INR
ACC_0140,XX000140,ICICI Bank,SYN_P_0140,Indore,INR
ACC_0141,XX000141,HDFC Bank,SYN_P_0141,Jaipur,INR
ACC_0142,XX000142,ICICI Bank,SYN_P_0142,Haridwar,INR
ACC_0143,XX000143,State Bank of India,SYN_P_0143,Mumbai,INR
ACC_0144,XX000144,HDFC Bank,SYN_P_0144,Haridwar,INR
ACC_0145,XX000145,HDFC Bank,SYN_P_0145,Indore,INR
ACC_0146,XX000146,Punjab National Bank,SYN_P_0146,Noida,INR
ACC_0147,XX000147,Bank of Baroda,SYN_P_0147,Ghaziabad,INR
ACC_0148,XX000148,ICICI Bank,SYN_P_0148,Indore,INR
ACC_0149,XX000149,Bank of Baroda,SYN_P_0149,Kolkata,INR
ACC_0150,XX000150,State Bank of India,SYN_P_0150,Chandigarh,INR
ACC_0151,XX000151,HDFC Bank,SYN_P_0151,Chennai,INR
ACC_0152,XX000152,Axis Bank,SYN_P_0152,Bhubaneswar,INR
ACC_0153,XX000153,State Bank of India,SYN_P_0153,Bhubaneswar,INR
ACC_0154,XX000154,Punjab National Bank,SYN_P_0154,Noida,INR
ACC_0155,XX000155,Punjab National Bank,SYN_P_0155,Kanpur,INR
ACC_0156,XX000156,Bank of Baroda,SYN_P_0156,Ahmedabad,INR
ACC_0157,XX000157,State Bank of India,SYN_P_0157,Kanpur,INR
ACC_0158,XX000158,ICICI Bank,SYN_P_0158,Noida,INR
ACC_0159,XX000159,State Bank of India,SYN_P_0159,Nagpur,INR
ACC_0160,XX000160,Axis Bank,SYN_P_0160,Bengaluru,INR
ACC_0161,XX000161,Punjab National Bank,SYN_P_0161,Kanpur,INR
ACC_0162,XX000162,Bank of Baroda,SYN_P_0162,Bhubaneswar,INR
ACC_0163,XX000163,Punjab National Bank,SYN_P_0163,Haridwar,INR
ACC_0164,XX000164,State Bank of India,SYN_P_0164,Noida,INR
ACC_0165,XX000165,Punjab National Bank,SYN_P_0165,Delhi,INR
ACC_0166,XX000166,Axis Bank,SYN_P_0166,Haridwar,INR
ACC_0167,XX000167,HDFC Bank,SYN_P_0167,Kolkata,INR
ACC_0168,XX000168,ICICI Bank,SYN_P_0168,Bhopal,INR
ACC_0169,XX000169,Bank of Baroda,SYN_P_0169,Meerut,INR
ACC_0170,XX000170,State Bank of India,SYN_P_0170,Mumbai,INR
ACC_0171,XX000171,State Bank of India,SYN_P_0171,Haridwar,INR
ACC_0172,XX000172,State Bank of India,SYN_P_0172,Surat,INR
ACC_0173,XX000173,Axis Bank,SYN_P_0173,Indore,INR
ACC_0174,XX000174,Punjab National Bank,SYN_P_0174,Chennai,INR
ACC_0175,XX000175,HDFC Bank,SYN_P_0175,Hyderabad,INR
ACC_0176,XX000176,Bank of Baroda,SYN_P_0176,Bengaluru,INR
ACC_0177,XX000177,ICICI Bank,SYN_P_0177,Lucknow,INR
ACC_0178,XX000178,Axis Bank,SYN_P_0178,Hyderabad,INR
ACC_0179,XX000179,Axis Bank,SYN_P_0179,Surat,INR
ACC_0180,XX000180,ICICI Bank,SYN_P_0180,Dehradun,INR
ACC_0181,XX000181,HDFC Bank,SYN_P_0181,Jaipur,INR
ACC_0182,XX000182,State Bank of India,SYN_P_0182,Meerut,INR
ACC_0183,XX000183,State Bank of India,SYN_P_0183,Mumbai,INR
ACC_0184,XX000184,State Bank of India,SYN_P_0184,Kanpur,INR
ACC_0185,XX000185,HDFC Bank,SYN_P_0185,Bhubaneswar,INR
ACC_0186,XX000186,Punjab National Bank,SYN_P_0186,Surat,INR
ACC_0187,XX000187,Punjab National Bank,SYN_P_0187,Indore,INR
ACC_0188,XX000188,Axis Bank,SYN_P_0188,Dehradun,INR
ACC_0189,XX000189,Bank of Baroda,SYN_P_0189,Ranchi,INR
ACC_0190,XX000190,Bank of Baroda,SYN_P_0190,Kanpur,INR
ACC_0191,XX000191,Bank of Baroda,SYN_P_0191,Delhi,INR
ACC_0192,XX000192,State Bank of India,SYN_P_0192,Bhubaneswar,INR
ACC_0193,XX000193,Punjab National Bank,SYN_P_0193,Mumbai,INR
ACC_0194,XX000194,Axis Bank,SYN_P_0194,Haridwar,INR
ACC_0195,XX000195,State Bank of India,SYN_P_0195,Kolkata,INR
ACC_0196,XX000196,Axis Bank,SYN_P_0196,Patna,INR
ACC_0197,XX000197,Axis Bank,SYN_P_0197,Jaipur,INR
ACC_0198,XX000198,Bank of Baroda,SYN_P_0198,Kanpur,INR
ACC_0199,XX000199,HDFC Bank,SYN_P_0199,Bhopal,INR
ACC_0200,XX000200,Axis Bank,SYN_P_0200,Indore,INR
ACC_0201,XX000201,Bank of Baroda,SYN_P_0201,Nagpur,INR
ACC_0202,XX000202,Axis Bank,SYN_P_0202,Ahmedabad,INR
ACC_0203,XX000203,Punjab National Bank,SYN_P_0203,Hyderabad,INR
ACC_0204,XX000204,HDFC Bank,SYN_P_0204,Mumbai,INR
ACC_0205,XX000205,State Bank of India,SYN_P_0205,Ghaziabad,INR
ACC_0206,XX000206,Axis Bank,SYN_P_0206,Nagpur,INR
ACC_0207,XX000207,State Bank of India,SYN_P_0207,Patna,INR
ACC_0208,XX000208,Punjab National Bank,SYN_P_0208,Meerut,INR
ACC_0209,XX000209,ICICI Bank,SYN_P_0209,Kanpur,INR
ACC_0210,XX000210,ICICI Bank,SYN_P_0210,Lucknow,INR
ACC_0211,XX000211,HDFC Bank,SYN_P_0211,Bengaluru,INR
ACC_0212,XX000212,ICICI Bank,SYN_P_0212,Mumbai,INR
ACC_0213,XX000213,Axis Bank,SYN_P_0213,Chandigarh,INR
ACC_0214,XX000214,State Bank of India,SYN_P_0214,Delhi,INR
ACC_0215,XX000215,HDFC Bank,SYN_P_0215,Dehradun,INR
ACC_0216,XX000216,HDFC Bank,SYN_P_0216,Nagpur,INR
ACC_0217,XX000217,State Bank of India,SYN_P_0217,Chandigarh,INR
ACC_0218,XX000218,Punjab National Bank,SYN_P_0218,Surat,INR
ACC_0219,XX000219,State Bank of India,SYN_P_0219,Dehradun,INR
ACC_0220,XX000220,HDFC Bank,SYN_P_0220,Mumbai,INR
ACC_0221,XX000221,Axis Bank,SYN_P_0221,Haridwar,INR
ACC_0222,XX000222,Bank of Baroda,SYN_P_0222,Kolkata,INR
ACC_0223,XX000223,Punjab National Bank,SYN_P_0223,Bhubaneswar,INR
ACC_0224,XX000224,Punjab National Bank,SYN_P_0224,Kolkata,INR
ACC_0225,XX000225,State Bank of India,SYN_P_0225,Delhi,INR
ACC_0226,XX000226,State Bank of India,SYN_P_0226,Dehradun,INR
ACC_0227,XX000227,Bank of Baroda,SYN_P_0227,Indore,INR
ACC_0228,XX000228,HDFC Bank,SYN_P_0228,Pune,INR
ACC_0229,XX000229,State Bank of India,SYN_P_0229,Ranchi,INR
ACC_0230,XX000230,State Bank of India,SYN_P_0230,Chandigarh,INR
ACC_0231,XX000231,State Bank of India,SYN_P_0231,Noida,INR
ACC_0232,XX000232,HDFC Bank,SYN_P_0232,Patna,INR
ACC_0233,XX000233,Axis Bank,SYN_P_0233,Meerut,INR
ACC_0234,XX000234,HDFC Bank,SYN_P_0234,Surat,INR
ACC_0235,XX000235,ICICI Bank,SYN_P_0235,Haridwar,INR
ACC_0236,XX000236,State Bank of India,SYN_P_0236,Kanpur,INR
ACC_0237,XX000237,ICICI Bank,SYN_P_0237,Nagpur,INR
ACC_0238,XX000238,ICICI Bank,SYN_P_0238,Patna,INR
ACC_0239,XX000239,Punjab National Bank,SYN_P_0239,Hyderabad,INR
ACC_0240,XX000240,Bank of Baroda,SYN_P_0240,Ranchi,INR
ACC_0241,XX000241,HDFC Bank,SYN_P_0241,Haridwar,INR
ACC_0242,XX000242,ICICI Bank,SYN_P_0242,Ranchi,INR
ACC_0243,XX000243,HDFC Bank,SYN_P_0243,Meerut,INR
ACC_0244,XX000244,Punjab National Bank,SYN_P_0244,Indore,INR
ACC_0245,XX000245,Axis Bank,SYN_P_0245,Haridwar,INR
ACC_0246,XX000246,Axis Bank,SYN_P_0246,Pune,INR
ACC_0247,XX000247,Bank of Baroda,SYN_P_0247,Bhopal,INR
ACC_0248,XX000248,State Bank of India,SYN_P_0248,Chandigarh,INR
ACC_0249,XX000249,Bank of Baroda,SYN_P_0249,Chandigarh,INR
ACC_0250,XX000250,State Bank of India,SYN_P_0250,Lucknow,INR
ACC_0251,XX000251,State Bank of India,SYN_P_0251,Bengaluru,INR
ACC_0252,XX000252,ICICI Bank,SYN_P_0252,Lucknow,INR
ACC_0253,XX000253,Punjab National Bank,SYN_P_0253,Surat,INR
ACC_0254,XX000254,HDFC Bank,SYN_P_0254,Bhubaneswar,INR
ACC_0255,XX000255,Axis Bank,SYN_P_0255,Bhopal,INR
ACC_0256,XX000256,Bank of Baroda,SYN_P_0256,Pune,INR
