vehicle_id,registration_number,make,model,owner_person_id
VEH_0001,RJ49HC8716,Honda,Bolero,SYN_P_0112
VEH_0002,KA19GT8454,Hyundai,Bolero,SYN_P_0765
VEH_0003,UK59XG6875,Tata,Creta,SYN_P_0688
VEH_0004,UK05WS1977,Tata,Creta,SYN_P_0228
VEH_0005,TS59NF6629,Hyundai,Nexon,SYN_P_0322
VEH_0006,MP79FS4763,Maruti Suzuki,Bolero,SYN_P_1002
VEH_0007,RJ76PO5573,Maruti Suzuki,Innova,SYN_P_0877
VEH_0008,BR32HK8114,Honda,Creta,SYN_P_0306
VEH_0009,WB01NB1656,Mahindra,Innova,SYN_P_1033
VEH_0010,DL55QM8852,Kia,Seltos,SYN_P_0201
VEH_0011,TS64HC1203,Toyota,Innova,SYN_P_0833
VEH_0012,RJ17LJ4916,Toyota,Swift,SYN_P_0033
VEH_0013,TS86JF8524,Kia,City,SYN_P_0050
VEH_0014,TS60YE7641,Hyundai,Seltos,SYN_P_0759
VEH_0015,MP60WU1022,Kia,Innova,SYN_P_0145
VEH_0016,KA89KQ1535,Tata,Bolero,SYN_P_0553
VEH_0017,BR79RS4393,Kia,Innova,SYN_P_0166
VEH_0018,WB43XB9433,Toyota,Nexon,SYN_P_0106
VEH_0019,UP50LO1669,Tata,Nexon,SYN_P_0359
VEH_0020,MP72WC4354,Hyundai,Nexon,SYN_P_0489
VEH_0021,TN15UP4437,Kia,Innova,SYN_P_0462
VEH_0022,GJ46IQ7929,Tata,Swift,SYN_P_0130
VEH_0023,GJ45OP9215,Honda,Seltos,SYN_P_0252
VEH_0024,TS91RV9730,Tata,Bolero,SYN_P_0754
VEH_0025,MP89ZC4085,Mahindra,Swift,SYN_P_0165
VEH_0026,KA23JC2791,Hyundai,Nexon,SYN_P_0230
VEH_0027,BR19PE4346,Honda,Innova,SYN_P_0047
VEH_0028,MH54VR3163,Mahindra,Nexon,SYN_P_0861
VEH_0029,TS95UA5776,Hyundai,Swift,SYN_P_0046
VEH_0030,RJ67UK7745,Honda,Nexon,SYN_P_0669
VEH_0031,TS76VW9686,Kia,City,SYN_P_0912
VEH_0032,TS39SE6021,Hyundai,Seltos,SYN_P_0533
VEH_0033,RJ62LJ1775,Hyundai,Nexon,SYN_P_0583
VEH_0034,TS22TF9770,Tata,Creta,SYN_P_0360
VEH_0035,BR89VZ3514,Hyundai,Creta,SYN_P_0240
VEH_0036,DL41SE8223,Tata,Nexon,SYN_P_0378
VEH_0037,RJ72WB6192,Tata,Creta,SYN_P_0764
VEH_0038,TS70FR5940,Maruti Suzuki,Swift,SYN_P_0829
VEH_0039,TS99EO6246,Hyundai,Swift,SYN_P_1040
VEH_0040,GJ83WJ8764,Tata,Seltos,SYN_P_0302
VEH_0041,WB94OK2840,Toyota,Bolero,SYN_P_0083
VEH_0042,UK87RD6047,Maruti Suzuki,Bolero,SYN_P_0452
VEH_0043,TS46CK1901,Honda,Innova,SYN_P_0400
VEH_0044,WB68HZ5553,Hyundai,Swift,SYN_P_0172
VEH_0045,TN58VV2431,Honda,Bolero,SYN_P_0399
VEH_0046,TS41TT9381,Maruti Suzuki,Innova,SYN_P_0740
VEH_0047,KA19WN7056,Mahindra,Nexon,SYN_P_0025
VEH_0048,MH45LJ8300,Kia,City,SYN_P_0180
VEH_0049,RJ94OX7809,Kia,Bolero,SYN_P_0592
VEH_0050,UK94NX7786,Hyundai,Seltos,SYN_P_0177
VEH_0051,UK27JP9606,Tata,Swift,SYN_P_0770
VEH_0052,UP01NU5478,Mahindra,Creta,SYN_P_0947
VEH_0053,BR73YE4264,Hyundai,Seltos,SYN_P_0782
VEH_0054,MH71PB5947,Kia,City,SYN_P_0623
VEH_0055,TS72XO4678,Maruti Suzuki,Seltos,SYN_P_0006
VEH_0056,UK34JU8742,Maruti Suzuki,Innova,SYN_P_0590
VEH_0057,KA23PW5009,Maruti Suzuki,Swift,SYN_P_0568
VEH_0058,TS09TX6927,Honda,Bolero,SYN_P_0894
VEH_0059,MH81VP2959,Tata,City,SYN_P_0036
VEH_0060,MH21SB3394,Tata,Bolero,SYN_P_0278
VEH_0061,GJ21BI6917,Mahindra,Innova,SYN_P_0730
VEH_0062,DL38JQ2258,Honda,Creta,SYN_P_0376
VEH_0063,UP77YF9908,Tata,Seltos,SYN_P_0648
VEH_0064,MP39IV6939,Maruti Suzuki,City,SYN_P_0721
VEH_0065,UK02EQ5610,Tata,Seltos,SYN_P_0994
VEH_0066,KA44FD4569,Hyundai,City,SYN_P_0453
VEH_0067,RJ72TW9612,Kia,City,SYN_P_0234
VEH_0068,KA59CD3150,Maruti Suzuki,Bolero,SYN_P_0714
VEH_0069,MH89LE8240,Honda,City,SYN_P_0701
VEH_0070,UK91JA2943,Hyundai,Creta,SYN_P_0292
VEH_0071,BR30JE4438,Hyundai,Swift,SYN_P_0871
VEH_0072,BR98ZD2273,Maruti Suzuki,Seltos,SYN_P_0992
VEH_0073,KA06GD1537,Kia,Innova,SYN_P_0122
VEH_0074,TS16IB2085,Tata,Innova,SYN_P_0022
VEH_0075,UP16TG4277,Hyundai,Innova,SYN_P_0720
VEH_0076,DL12EX5544,Honda,Nexon,SYN_P_0722
VEH_0077,UK65YX4962,Honda,City,SYN_P_0140
VEH_0078,UP75YA9664,Hyundai,Innova,SYN_P_0393
VEH_0079,MH22YR1070,Toyota,Swift,SYN_P_0439
VEH_0080,TN91PL4033,Mahindra,Innova,SYN_P_0220
VEH_0081,UK46MN4510,Honda,Creta,SYN_P_0835
VEH_0082,UP98KD8633,Maruti Suzuki,City,SYN_P_0279
VEH_0083,TS98LW5723,Honda,Innova,SYN_P_0084
VEH_0084,UP42PD7304,Tata,Bolero,SYN_P_0639
VEH_0085,MP57HR7672,Tata,Seltos,SYN_P_0877
VEH_0086,RJ09ZP7020,Hyundai,Swift,SYN_P_1007
VEH_0087,MP14MO9563,Toyota,Innova,SYN_P_0175
VEH_0088,UP19MM2666,Toyota,Creta,SYN_P_0133
VEH_0089,GJ26KG7623,Maruti Suzuki,Creta,SYN_P_0870
VEH_0090,BR64IY5472,Kia,Seltos,SYN_P_0820
VEH_0091,GJ61VT7626,Mahindra,City,SYN_P_0572
VEH_0092,UK99OD3001,Tata,Bolero,SYN_P_1019
VEH_0093,RJ81EA2631,Toyota,Swift,SYN_P_0140
VEH_0094,TS87AF7269,Honda,Innova,SYN_P_0670
VEH_0095,UK39TT2578,Kia,Swift,SYN_P_1009
VEH_0096,TS26JV9157,Mahindra,City,SYN_P_0536
VEH_0097,TN44ZR9955,Maruti Suzuki,Seltos,SYN_P_0065
VEH_0098,KA16MO6153,Kia,Bolero,SYN_P_0907
VEH_0099,TS05BF5965,Toyota,Creta,SYN_P_1007
VEH_0100,KA18JW7374,Mahindra,Seltos,SYN_P_0225
VEH_0101,WB87PV9837,Honda,Bolero,SYN_P_0975
VEH_0102,TN21QB7412,Tata,Bolero,SYN_P_0774
VEH_0103,WB87LY5660,Tata,Swift,SYN_P_0058
VEH_0104,WB06EL6715,Kia,Innova,SYN_P_0056
VEH_0105,MP44MD8014,Tata,Nexon,SYN_P_0844
VEH_0106,GJ08VH5056,Hyundai,Innova,SYN_P_0640
VEH_0107,WB11WC5995,Maruti Suzuki,Nexon,SYN_P_0348
VEH_0108,DL69KB8551,Toyota,Seltos,SYN_P_0866
VEH_0109,WB66NI1334,Toyota,Bolero,SYN_P_0046
VEH_0110,GJ49SM6282,Honda,Swift,SYN_P_1001
VEH_0111,UP89VG6504,Mahindra,City,SYN_P_0696
VEH_0112,UK79JL8143,Hyundai,Bolero,SYN_P_0155
VEH_0113,TN28JI1778,Tata,City,SYN_P_0824
VEH_0114,RJ80XC2552,Honda,Nexon,SYN_P_0560
VEH_0115,UP73ZQ8786,Mahindra,Creta,SYN_P_0712
VEH_0116,UP84JQ5913,Mahindra,Innova,SYN_P_0642
VEH_0117,RJ54MI9443,Mahindra,Innova,SYN_P_0370
VEH_0118,DL81WQ4056,Honda,Bolero,SYN_P_0437
VEH_0119,MP96OI9728,Kia,City,SYN_P_0889
VEH_0120,WB94UB9556,Hyundai,Nexon,SYN_P_0948
VEH_0121,UK31EX5919,Kia,Bolero,SYN_P_0841
VEH_0122,GJ09UG7757,Tata,Seltos,SYN_P_0588
VEH_0123,MP21IV4868,Mahindra,Creta,SYN_P_0233
VEH_0124,UK25AH6087,Mahindra,Bolero,SYN_P_0894
VEH_0125,KA83BG3610,Tata,Creta,SYN_P_0060
VEH_0126,MH36VR3883,Toyota,Seltos,SYN_P_0087
VEH_0127,BR63ZA1906,Kia,Swift,SYN_P_0643
VEH_0128,WB39CN6954,Toyota,Innova,SYN_P_0185
VEH_0129,KA93EH2833,Honda,Innova,SYN_P_1025
VEH_0130,UP67VS9605,Tata,Bolero,SYN_P_0185
VEH_0131,RJ77DY6134,Tata,Seltos,SYN_P_0799
VEH_0132,BR96HN4571,Hyundai,Swift,SYN_P_0359
VEH_0133,RJ36ON5166,Kia,City,SYN_P_0115
VEH_0134,TS69LW2850,Tata,City,SYN_P_0868
VEH_0135,TS88HI3374,Tata,Bolero,SYN_P_0754
VEH_0136,MH03UT1570,Kia,Innova,SYN_P_0112
VEH_0137,BR86HI7302,Tata,Innova,SYN_P_0744
VEH_0138,MP16RH8248,Mahindra,Swift,SYN_P_0805
VEH_0139,MH39CY4857,Tata,Creta,SYN_P_0329
VEH_0140,TS81KZ7656,Kia,Swift,SYN_P_0562
VEH_0141,UP63PX7765,Kia,Nexon,SYN_P_0866
VEH_0142,UP21WI9295,Maruti Suzuki,Nexon,SYN_P_0862
VEH_0143,WB94RX6353,Mahindra,Innova,SYN_P_0057
VEH_0144,DL83UF8264,Kia,Innova,SYN_P_0279
VEH_0145,DL52GU6006,Tata,City,SYN_P_0169
VEH_0146,UP21HQ3131,Kia,City,SYN_P_0841
VEH_0147,GJ58PX3187,Tata,Creta,SYN_P_0671
VEH_0148,MH26CN7022,Hyundai,Bolero,SYN_P_0773
VEH_0149,WB29AA4747,Maruti Suzuki,Bolero,SYN_P_0407
VEH_0150,MH90FB7570,Honda,Bolero,SYN_P_0533
VEH_0151,UK12LF2922,Maruti Suzuki,Innova,SYN_P_0892
VEH_0152,TS87PD4677,Toyota,Creta,SYN_P_0391
VEH_0153,MH37XP7259,Hyundai,Bolero,SYN_P_0424
VEH_0154,WB28JX4102,Mahindra,Creta,SYN_P_0837
VEH_0155,UK04JI4858,Honda,Bolero,SYN_P_0509
VEH_0156,GJ75VU8506,Maruti Suzuki,Swift,SYN_P_0961
VEH_0157,UK42WM4476,Toyota,Bolero,SYN_P_0867
VEH_0158,BR77IC2561,Honda,Swift,SYN_P_0107
VEH_0159,GJ31PL1745,Maruti Suzuki,Nexon,SYN_P_1034
VEH_0160,WB49JM7076,Hyundai,City,SYN_P_0085
VEH_0161,WB23IF9253,Mahindra,Nexon,SYN_P_0959
VEH_0162,UK12KW9690,Mahindra,Creta,SYN_P_0534
VEH_0163,UP41BE9179,Kia,Seltos,SYN_P_0576
VEH_0164,BR47NJ5312,Honda,Seltos,SYN_P_0541
VEH_0165,TN41NF6169,Toyota,Bolero,SYN_P_0310
VEH_0166,TN85UZ8208,Maruti Suzuki,Creta,SYN_P_0305
VEH_0167,DL30FB8704,Tata,Creta,SYN_P_0957
VEH_0168,KA15PB8233,Tata,Innova,SYN_P_0994
VEH_0169,TS64DX3425,Maruti Suzuki,Nexon,SYN_P_0192
VEH_0170,RJ37FF9335,Kia,Nexon,SYN_P_0435
VEH_0171,WB01QY3958,Mahindra,Swift,SYN_P_0505
VEH_0172,TS87DK1425,Tata,Innova,SYN_P_0250
VEH_0173,KA48SD6300,Hyundai,Swift,SYN_P_0167
VEH_0174,TS91VP8439,Toyota,Nexon,SYN_P_0012
VEH_0175,GJ06UT8423,Tata,Innova,SYN_P_0265
VEH_0176,RJ07ZU5635,Tata,Seltos,SYN_P_0114
VEH_0177,BR10RT7248,Maruti Suzuki,Bolero,SYN_P_0523
VEH_0178,UK31YM2461,Maruti Suzuki,Seltos,SYN_P_0427
VEH_0179,UK50YM5668,Toyota,Seltos,SYN_P_0316
VEH_0180,UP39PZ8083,Toyota,Seltos,SYN_P_0636
VEH_0181,MP78EL2574,Kia,Nexon,SYN_P_0410
VEH_0182,TS58MP5398,Honda,City,SYN_P_0867
VEH_0183,UP97NZ7033,Honda,Creta,SYN_P_0890
VEH_0184,MP55CB9410,Tata,Bolero,SYN_P_0460
VEH_0185,MP88WE9115,Honda,Innova,SYN_P_0172
VEH_0186,MH60NC8825,Tata,Creta,SYN_P_0262
VEH_0187,MP39HQ8007,Tata,City,SYN_P_0098
VEH_0188,TN10BQ2763,Honda,Bolero,SYN_P_0846
VEH_0189,UP60VX5151,Tata,Nexon,SYN_P_0168
VEH_0190,TN03DX8583,Hyundai,Seltos,SYN_P_0374
VEH_0191,KA06CN5876,Tata,City,SYN_P_0932
VEH_0192,MP58TZ5342,Tata,Seltos,SYN_P_0384
VEH_0193,RJ24CX5248,Kia,Innova,SYN_P_0218
VEH_0194,KA69AA7470,Maruti Suzuki,Swift,SYN_P_0352
VEH_0195,MP62OW7637,Kia,Innova,SYN_P_0997
VEH_0196,MH80TL7471,Kia,Nexon,SYN_P_0180
VEH_0197,UK18AG2833,Kia,Swift,SYN_P_0386
VEH_0198,DL27PU3378,Toyota,Creta,SYN_P_0893
VEH_0199,MP69GC5930,Kia,Bolero,SYN_P_0304
VEH_0200,TS55AD3721,Hyundai,Innova,SYN_P_0912
VEH_0201,TS61AO4975,Hyundai,Nexon,SYN_P_0803
VEH_0202,DL43AD8074,Mahindra,Seltos,SYN_P_1016
VEH_0203,BR75TX5764,Maruti Suzuki,Bolero,SYN_P_0819
VEH_0204,TS66SX8993,Hyundai,Innova,SYN_P_0125
VEH_0205,TN03NS6174,Honda,Swift,SYN_P_0549
VEH_0206,MP54PD9106,Honda,Innova,SYN_P_0711
VEH_0207,TS90NA3643,Tata,Innova,SYN_P_0394
VEH_0208,TS45OH9317,Hyundai,City,SYN_P_0695
VEH_0209,WB92VO3148,Tata,Innova,SYN_P_0800
VEH_0210,KA87UX6902,Kia,Bolero,SYN_P_0332
VEH_0211,WB27JW2412,Toyota,Bolero,SYN_P_0265
VEH_0212,UK26FT9063,Maruti Suzuki,Seltos,SYN_P_0852
VEH_0213,TS39HG1770,Maruti Suzuki,Nexon,SYN_P_0535
VEH_0214,GJ87FF9248,Maruti Suzuki,Seltos,SYN_P_0131
VEH_0215,GJ56DT4714,Maruti Suzuki,City,SYN_P_0459
VEH_0216,TS34KZ6820,Kia,Swift,SYN_P_0548
VEH_0217,UK89QT2706,Toyota,Swift,SYN_P_0897
VEH_0218,TS97DD2669,Kia,City,SYN_P_0086
VEH_0219,TN14FU2934,Kia,Creta,SYN_P_0741
VEH_0220,UK94JW8233,Kia,City,SYN_P_1021
VEH_0221,BR13EU6959,Tata,Seltos,SYN_P_0283
VEH_0222,UP26ON1107,Hyundai,Seltos,SYN_P_0971
VEH_0223,GJ37QF2396,Tata,Nexon,SYN_P_0850
VEH_0224,GJ81VH3483,Kia,Seltos,SYN_P_0864
VEH_0225,RJ18ZN7773,Mahindra,Bolero,SYN_P_0741
VEH_0226,DL57EY1162,Toyota,Seltos,SYN_P_0143
VEH_0227,UP44KM3692,Mahindra,Swift,SYN_P_0806
VEH_0228,DL85UE1947,Toyota,Innova,SYN_P_0606
VEH_0229,KA52VW5986,Toyota,Innova,SYN_P_0643
VEH_0230,GJ02IQ3406,Toyota,Bolero,SYN_P_0914
VEH_0231,MP27RT8244,Toyota,Nexon,SYN_P_0829
VEH_0232,RJ39CB9805,Tata,Bolero,SYN_P_0259
VEH_0233,TN70JG2520,Honda,City,SYN_P_0640
VEH_0234,TN44YU3621,Maruti Suzuki,Swift,SYN_P_0530
VEH_0235,RJ39XN9278,Maruti Suzuki,Innova,SYN_P_0123
VEH_0236,GJ34UQ6807,Maruti Suzuki,Swift,SYN_P_0256
VEH_0237,TS39SX1085,Mahindra,Nexon,SYN_P_0484
VEH_0238,BR75SW9737,Kia,City,SYN_P_0479
VEH_0239,GJ39JV3293,Toyota,Bolero,SYN_P_0508
VEH_0240,UP42QS4154,Kia,Seltos,SYN_P_0740
VEH_0241,TS13EW7974,Kia,Bolero,SYN_P_0168
VEH_0242,UP08NE8802,Hyundai,Bolero,SYN_P_0160
VEH_0243,GJ87QM9502,Kia,Bolero,SYN_P_0541
VEH_0244,WB64UN8210,Toyota,Bolero,SYN_P_0854
VEH_0245,UK19QE8942,Toyota,Bolero,SYN_P_0265
VEH_0246,BR66QD4483,Mahindra,Bolero,SYN_P_0067
VEH_0247,BR21RL2945,Honda,Seltos,SYN_P_0837
VEH_0248,UP16LS5744,Maruti Suzuki,City,SYN_P_0314
VEH_0249,UP48JL5968,Tata,Bolero,SYN_P_0058
VEH_0250,UK19ZS7910,Maruti Suzuki,Nexon,SYN_P_0581
VEH_0251,RJ24XP1034,Maruti Suzuki,City,SYN_P_0715
VEH_0252,UP06NP6074,Honda,Bolero,SYN_P_0692
VEH_0253,KA61XT3175,Kia,Creta,SYN_P_1034
VEH_0254,MP59YO8357,Hyundai,Seltos,SYN_P_0667
VEH_0255,UP80VT7711,Mahindra,Creta,SYN_P_0810
VEH_0256,GJ70BV8259,Toyota,Nexon,SYN_P_0182
VEH_0257,UK91AS6060,Honda,Innova,SYN_P_0254
