person_id,full_name,first_name,last_name,gender,city,state
SYN_P_0001,Aarav Bansal,Aarav,Bansal,Male,Delhi,Delhi
SYN_P_0002,Riya Tripathi,Riya,Tripathi,Female,Surat,Gujarat
SYN_P_0003,Rajat Sethi,Rajat,Sethi,Male,Chandigarh,Chandigarh
SYN_P_0004,Navya Pawar,Navya,Pawar,Female,Ludhiana,Punjab
SYN_P_0005,Tushar Dutta,Tushar,Dutta,Male,Mysuru,Karnataka
SYN_P_0006,Kritika Trivedi,Kritika,Trivedi,Female,Kanpur,Uttar Pradesh
SYN_P_0007,Atharv Prasad,Atharv,Prasad,Male,Bhopal,Madhya Pradesh
SYN_P_0008,Snehal Bhardwaj,Snehal,Bhardwaj,Female,Meerut,Uttar Pradesh
SYN_P_0009,Rahul Karmakar,Rahul,Karmakar,Male,Ahmedabad,Gujarat
SYN_P_0010,Aditi Singh,Aditi,Singh,Female,Haldwani,Uttarakhand
SYN_P_0011,Ayush Das,Ayush,Das,Male,Amritsar,Punjab
SYN_P_0012,Nandini Saxena,Nandini,Saxena,Female,Bengaluru,Karnataka
SYN_P_0013,Naveen Patil,Naveen,Patil,Male,Lucknow,Uttar Pradesh
SYN_P_0014,Jyoti Sinha,Jyoti,Sinha,Female,Indore,Madhya Pradesh
SYN_P_0015,Parth Shukla,Parth,Shukla,Male,Kota,Rajasthan
SYN_P_0016,Neha Khatri,Neha,Khatri,Female,Thiruvananthapuram,Kerala
SYN_P_0017,Nikhil Suri,Nikhil,Suri,Male,Dehradun,Uttarakhand
SYN_P_0018,Diya D'Souza,Diya,D'Souza,Female,Gurugram,Haryana
SYN_P_0019,Ishaan Mehta,Ishaan,Mehta,Male,Nashik,Maharashtra
SYN_P_0020,Tanvi Mukherjee,Tanvi,Mukherjee,Female,Udaipur,Rajasthan
SYN_P_0021,Deepak Tiwari,Deepak,Tiwari,Male,Bhubaneswar,Odisha
SYN_P_0022,Manvi Shetty,Manvi,Shetty,Female,Thane,Maharashtra
SYN_P_0023,Vihaan Yadav,Vihaan,Yadav,Male,Kochi,Kerala
SYN_P_0024,Pooja Choudhary,Pooja,Choudhary,Female,Agra,Uttar Pradesh
SYN_P_0025,Mohit Oberoi,Mohit,Oberoi,Male,Guwahati,Assam
SYN_P_0026,Anjali Lal,Anjali,Lal,Female,Nagpur,Maharashtra
SYN_P_0027,Vivek Varghese,Vivek,Varghese,Male,Jodhpur,Rajasthan
SYN_P_0028,Sanya Shah,Sanya,Shah,Female,Kolkata,West Bengal
SYN_P_0029,Shivam Agarwal,Shivam,Agarwal,Male,Navi Mumbai,Maharashtra
SYN_P_0030,Trisha Tripathi,Trisha,Tripathi,Female,Coimbatore,Tamil Nadu
SYN_P_0031,Vikram Hegde,Vikram,Hegde,Male,Varanasi,Uttar Pradesh
SYN_P_0032,Simran Chauhan,Simran,Chauhan,Female,Visakhapatnam,Andhra Pradesh
SYN_P_0033,Harsh Bisht,Harsh,Bisht,Male,Pune,Maharashtra
SYN_P_0034,Payal Ahuja,Payal,Ahuja,Female,Jaipur,Rajasthan
SYN_P_0035,Piyush Ranjan,Piyush,Ranjan,Male,Ranchi,Jharkhand
SYN_P_0036,Preeti Mathew,Preeti,Mathew,Female,Jammu,Jammu and Kashmir
SYN_P_0037,Nitin Rao,Nitin,Rao,Male,Chennai,Tamil Nadu
SYN_P_0038,Kavya Naik,Kavya,Naik,Female,Ghaziabad,Uttar Pradesh
SYN_P_0039,Siddharth Kumar,Siddharth,Kumar,Male,Vijayawada,Andhra Pradesh
SYN_P_0040,Avni Krishnan,Avni,Krishnan,Female,Mumbai,Maharashtra
SYN_P_0041,Kunal Solanki,Kunal,Solanki,Male,Vadodara,Gujarat
SYN_P_0042,Palak Bhat,Palak,Bhat,Female,Patna,Bihar
SYN_P_0043,Sanjay Wadhwa,Sanjay,Wadhwa,Male,Srinagar,Jammu and Kashmir
SYN_P_0044,Vanshika Bhattacharya,Vanshika,Bhattacharya,Female,Hyderabad,Telangana
SYN_P_0045,Aditya Abraham,Aditya,Abraham,Male,Noida,Uttar Pradesh
SYN_P_0046,Sneha Iyer,Sneha,Iyer,Female,Raipur,Chhattisgarh
SYN_P_0047,Abhishek Khanna,Abhishek,Khanna,Male,Delhi,Delhi
SYN_P_0048,Radhika Deshmukh,Radhika,Deshmukh,Female,Surat,Gujarat
SYN_P_0049,Gaurav Ghosh,Gaurav,Ghosh,Male,Chandigarh,Chandigarh
SYN_P_0050,Srishti Desai,Srishti,Desai,Female,Ludhiana,Punjab
SYN_P_0051,Tarun Mandal,Tarun,Mandal,Male,Mysuru,Karnataka
SYN_P_0052,Aanya Chopra,Aanya,Chopra,Female,Kanpur,Uttar Pradesh
SYN_P_0053,Karan Saha,Karan,Saha,Male,Bhopal,Madhya Pradesh
SYN_P_0054,Sakshi Verma,Sakshi,Verma,Female,Meerut,Uttar Pradesh
SYN_P_0055,Dev Bose,Dev,Bose,Male,Ahmedabad,Gujarat
SYN_P_0056,Sonali Arora,Sonali,Arora,Female,Haldwani,Uttarakhand
SYN_P_0057,Sameer Jadhav,Sameer,Jadhav,Male,Amritsar,Punjab
SYN_P_0058,Monika Sarkar,Monika,Sarkar,Female,Bengaluru,Karnataka
SYN_P_0059,Ujjwal Dubey,Ujjwal,Dubey,Male,Lucknow,Uttar Pradesh
SYN_P_0060,Isha Rana,Isha,Rana,Female,Indore,Madhya Pradesh
SYN_P_0061,Varun Kohli,Varun,Kohli,Male,Kota,Rajasthan
SYN_P_0062,Ishita Fernandes,Ishita,Fernandes,Female,Thiruvananthapuram,Kerala
SYN_P_0063,Saurabh Gupta,Saurabh,Gupta,Male,Dehradun,Uttarakhand
SYN_P_0064,Apoorva Chatterjee,Apoorva,Chatterjee,Female,Gurugram,Haryana
