person_id,name,gender,date_of_birth,age,city,state,country,community_id,source,source_role,confidence,source_person_id,identity_status
SYN_P_0001,Aarav Bansal,M,2003-06-29,53.0,Bengaluru,Karnataka,India,,synthetic,,1.0,,
SYN_P_0002,Riya Tripathi,F,2004-11-07,59.0,Dehradun,Uttarakhand,India,,synthetic,,1.0,,
SYN_P_0003,Rajat Sethi,F,1982-05-15,48.0,Indore,Madhya Pradesh,India,,synthetic,,1.0,,
SYN_P_0004,Navya Pawar,F,1986-08-31,61.0,Kolkata,West Bengal,India,,synthetic,,1.0,,
SYN_P_0005,Tushar Dutta,M,2018-03-18,56.0,Kolkata,West Bengal,India,,synthetic,,1.0,,
SYN_P_0006,Kritika Trivedi,F,1984-12-20,39.0,Chandigarh,Chandigarh,India,,synthetic,,1.0,,
SYN_P_0007,Atharv Prasad,M,1982-08-03,41.0,Bhubaneswar,Odisha,India,,synthetic,,1.0,,
SYN_P_0008,Snehal Bhardwaj,M,2010-06-18,43.0,Noida,Uttar Pradesh,India,,synthetic,,1.0,,
SYN_P_0009,Rahul Karmakar,F,1970-11-11,29.0,Kolkata,West Bengal,India,,synthetic,,1.0,,
SYN_P_0010,Aditi Singh,F,1987-07-04,56.0,Bengaluru,Karnataka,India,,synthetic,,1.0,,
SYN_P_0011,Ayush Das,F,2015-05-07,47.0,Kanpur,Uttar Pradesh,India,,synthetic,,1.0,,
SYN_P_0012,Nandini Saxena,F,2014-02-11,66.0,Hyderabad,Telangana,India,,synthetic,,1.0,,
SYN_P_0013,Naveen Patil,F,2009-10-27,31.0,Indore,Madhya Pradesh,India,,synthetic,,1.0,,
SYN_P_0014,Jyoti Sinha,M,1977-06-01,35.0,Bhubaneswar,Odisha,India,,synthetic,,1.0,,
SYN_P_0015,Parth Shukla,M,1996-03-16,38.0,Bhopal,Madhya Pradesh,India,,synthetic,,1.0,,
SYN_P_0016,Neha Khatri,F,1990-03-04,31.0,Nagpur,Maharashtra,India,,synthetic,,1.0,,
SYN_P_0017,Nikhil Suri,F,2011-01-11,56.0,Lucknow,Uttar Pradesh,India,,synthetic,,1.0,,
SYN_P_0018,Diya D'Souza,M,2015-10-30,57.0,Patna,Bihar,India,,synthetic,,1.0,,
SYN_P_0019,Ishaan Mehta,F,1980-03-31,55.0,Chandigarh,Chandigarh,India,,synthetic,,1.0,,
SYN_P_0020,Tanvi Mukherjee,M,2002-11-30,67.0,Noida,Uttar Pradesh,India,,synthetic,,1.0,,
SYN_P_0021,Deepak Tiwari,M,2009-08-06,48.0,Kolkata,West Bengal,India,,synthetic,,1.0,,
SYN_P_0022,Manvi Shetty,M,1979-03-10,40.0,Ranchi,Jharkhand,India,,synthetic,,1.0,,
SYN_P_0023,Vihaan Yadav,F,1972-11-22,37.0,Meerut,Uttar Pradesh,India,,synthetic,,1.0,,
SYN_P_0024,Pooja Choudhary,M,2001-04-10,49.0,Jaipur,Rajasthan,India,,synthetic,,1.0,,
SYN_P_0025,Mohit Oberoi,M,1980-07-13,34.0,Delhi,Delhi,India,,synthetic,,1.0,,
SYN_P_0026,Anjali Lal,F,2001-06-16,31.0,Surat,Gujarat,India,,synthetic,,1.0,,
SYN_P_0027,Vivek Varghese,M,1982-06-29,34.0,Mumbai,Maharashtra,India,,synthetic,,1.0,,
SYN_P_0028,Sanya Shah,F,1975-04-30,55.0,Ahmedabad,Gujarat,India,,synthetic,,1.0,,
SYN_P_0029,Shivam Agarwal,M,1995-03-21,41.0,Lucknow,Uttar Pradesh,India,,synthetic,,1.0,,
SYN_P_0030,Trisha Tripathi,F,1996-04-03,57.0,Ahmedabad,Gujarat,India,,synthetic,,1.0,,
SYN_P_0031,Vikram Hegde,M,1993-12-26,29.0,Ranchi,Jharkhand,India,,synthetic,,1.0,,
SYN_P_0032,Simran Chauhan,M,2006-12-05,38.0,Jaipur,Rajasthan,India,,synthetic,,1.0,,
