vehicle_id,registration_number,make,model,owner_person_id,source
VEH_0001,RJ49HC8716,Honda,Bolero,SYN_P_0112,synthetic
VEH_0002,KA19GT8454,Hyundai,Bolero,SYN_P_0765,synthetic
VEH_0003,UK59XG6875,Tata,Creta,SYN_P_0688,synthetic
VEH_0004,UK05WS1977,Tata,Creta,SYN_P_0228,synthetic
VEH_0005,TS59NF6629,Hyundai,Nexon,SYN_P_0322,synthetic
VEH_0006,MP79FS4763,Maruti Suzuki,Bolero,SYN_P_1002,synthetic
VEH_0007,RJ76PO5573,Maruti Suzuki,Innova,SYN_P_0877,synthetic
VEH_0008,BR32HK8114,Honda,Creta,SYN_P_0306,synthetic
VEH_0009,WB01NB1656,Mahindra,Innova,SYN_P_1033,synthetic
VEH_0010,DL55QM8852,Kia,Seltos,SYN_P_0201,synthetic
VEH_0011,TS64HC1203,Toyota,Innova,SYN_P_0833,synthetic
VEH_0012,RJ17LJ4916,Toyota,Swift,SYN_P_0033,synthetic
VEH_0013,TS86JF8524,Kia,City,SYN_P_0050,synthetic
VEH_0014,TS60YE7641,Hyundai,Seltos,SYN_P_0759,synthetic
VEH_0015,MP60WU1022,Kia,Innova,SYN_P_0145,synthetic
VEH_0016,KA89KQ1535,Tata,Bolero,SYN_P_0553,synthetic
VEH_0017,BR79RS4393,Kia,Innova,SYN_P_0166,synthetic
VEH_0018,WB43XB9433,Toyota,Nexon,SYN_P_0106,synthetic
VEH_0019,UP50LO1669,Tata,Nexon,SYN_P_0359,synthetic
VEH_0020,MP72WC4354,Hyundai,Nexon,SYN_P_0489,synthetic
VEH_0021,TN15UP4437,Kia,Innova,SYN_P_0462,synthetic
VEH_0022,GJ46IQ7929,Tata,Swift,SYN_P_0130,synthetic
VEH_0023,GJ45OP9215,Honda,Seltos,SYN_P_0252,synthetic
VEH_0024,TS91RV9730,Tata,Bolero,SYN_P_0754,synthetic
VEH_0025,MP89ZC4085,Mahindra,Swift,SYN_P_0165,synthetic
VEH_0026,KA23JC2791,Hyundai,Nexon,SYN_P_0230,synthetic
VEH_0027,BR19PE4346,Honda,Innova,SYN_P_0047,synthetic
VEH_0028,MH54VR3163,Mahindra,Nexon,SYN_P_0861,synthetic
VEH_0029,TS95UA5776,Hyundai,Swift,SYN_P_0046,synthetic
VEH_0030,RJ67UK7745,Honda,Nexon,SYN_P_0669,synthetic
VEH_0031,TS76VW9686,Kia,City,SYN_P_0912,synthetic
VEH_0032,TS39SE6021,Hyundai,Seltos,SYN_P_0533,synthetic
VEH_0033,RJ62LJ1775,Hyundai,Nexon,SYN_P_0583,synthetic
VEH_0034,TS22TF9770,Tata,Creta,SYN_P_0360,synthetic
VEH_0035,BR89VZ3514,Hyundai,Creta,SYN_P_0240,synthetic
VEH_0036,DL41SE8223,Tata,Nexon,SYN_P_0378,synthetic
VEH_0037,RJ72WB6192,Tata,Creta,SYN_P_0764,synthetic
VEH_0038,TS70FR5940,Maruti Suzuki,Swift,SYN_P_0829,synthetic
VEH_0039,TS99EO6246,Hyundai,Swift,SYN_P_1040,synthetic
VEH_0040,GJ83WJ8764,Tata,Seltos,SYN_P_0302,synthetic
VEH_0041,WB94OK2840,Toyota,Bolero,SYN_P_0083,synthetic
VEH_0042,UK87RD6047,Maruti Suzuki,Bolero,SYN_P_0452,synthetic
VEH_0043,TS46CK1901,Honda,Innova,SYN_P_0400,synthetic
VEH_0044,WB68HZ5553,Hyundai,Swift,SYN_P_0172,synthetic
VEH_0045,TN58VV2431,Honda,Bolero,SYN_P_0399,synthetic
VEH_0046,TS41TT9381,Maruti Suzuki,Innova,SYN_P_0740,synthetic
VEH_0047,KA19WN7056,Mahindra,Nexon,SYN_P_0025,synthetic
VEH_0048,MH45LJ8300,Kia,City,SYN_P_0180,synthetic
VEH_0049,RJ94OX7809,Kia,Bolero,SYN_P_0592,synthetic
VEH_0050,UK94NX7786,Hyundai,Seltos,SYN_P_0177,synthetic
VEH_0051,UK27JP9606,Tata,Swift,SYN_P_0770,synthetic
VEH_0052,UP01NU5478,Mahindra,Creta,SYN_P_0947,synthetic
VEH_0053,BR73YE4264,Hyundai,Seltos,SYN_P_0782,synthetic
VEH_0054,MH71PB5947,Kia,City,SYN_P_0623,synthetic
VEH_0055,TS72XO4678,Maruti Suzuki,Seltos,SYN_P_0006,synthetic
VEH_0056,UK34JU8742,Maruti Suzuki,Innova,SYN_P_0590,synthetic
VEH_0057,KA23PW5009,Maruti Suzuki,Swift,SYN_P_0568,synthetic
VEH_0058,TS09TX6927,Honda,Bolero,SYN_P_0894,synthetic
VEH_0059,MH81VP2959,Tata,City,SYN_P_0036,synthetic
VEH_0060,MH21SB3394,Tata,Bolero,SYN_P_0278,synthetic
VEH_0061,GJ21BI6917,Mahindra,Innova,SYN_P_0730,synthetic
VEH_0062,DL38JQ2258,Honda,Creta,SYN_P_0376,synthetic
VEH_0063,UP77YF9908,Tata,Seltos,SYN_P_0648,synthetic
VEH_0064,MP39IV6939,Maruti Suzuki,City,SYN_P_0721,synthetic
VEH_0065,UK02EQ5610,Tata,Seltos,SYN_P_0994,synthetic
VEH_0066,KA44FD4569,Hyundai,City,SYN_P_0453,synthetic
VEH_0067,RJ72TW9612,Kia,City,SYN_P_0234,synthetic
VEH_0068,KA59CD3150,Maruti Suzuki,Bolero,SYN_P_0714,synthetic
VEH_0069,MH89LE8240,Honda,City,SYN_P_0701,synthetic
VEH_0070,UK91JA2943,Hyundai,Creta,SYN_P_0292,synthetic
VEH_0071,BR30JE4438,Hyundai,Swift,SYN_P_0871,synthetic
VEH_0072,BR98ZD2273,Maruti Suzuki,Seltos,SYN_P_0992,synthetic
VEH_0073,KA06GD1537,Kia,Innova,SYN_P_0122,synthetic
VEH_0074,TS16IB2085,Tata,Innova,SYN_P_0022,synthetic
VEH_0075,UP16TG4277,Hyundai,Innova,SYN_P_0720,synthetic
VEH_0076,DL12EX5544,Honda,Nexon,SYN_P_0722,synthetic
VEH_0077,UK65YX4962,Honda,City,SYN_P_0140,synthetic
VEH_0078,UP75YA9664,Hyundai,Innova,SYN_P_0393,synthetic
VEH_0079,MH22YR1070,Toyota,Swift,SYN_P_0439,synthetic
VEH_0080,TN91PL4033,Mahindra,Innova,SYN_P_0220,synthetic
VEH_0081,UK46MN4510,Honda,Creta,SYN_P_0835,synthetic
VEH_0082,UP98KD8633,Maruti Suzuki,City,SYN_P_0279,synthetic
VEH_0083,TS98LW5723,Honda,Innova,SYN_P_0084,synthetic
VEH_0084,UP42PD7304,Tata,Bolero,SYN_P_0639,synthetic
VEH_0085,MP57HR7672,Tata,Seltos,SYN_P_0877,synthetic
VEH_0086,RJ09ZP7020,Hyundai,Swift,SYN_P_1007,synthetic
VEH_0087,MP14MO9563,Toyota,Innova,SYN_P_0175,synthetic
VEH_0088,UP19MM2666,Toyota,Creta,SYN_P_0133,synthetic
VEH_0089,GJ26KG7623,Maruti Suzuki,Creta,SYN_P_0870,synthetic
VEH_0090,BR64IY5472,Kia,Seltos,SYN_P_0820,synthetic
VEH_0091,GJ61VT7626,Mahindra,City,SYN_P_0572,synthetic
VEH_0092,UK99OD3001,Tata,Bolero,SYN_P_1019,synthetic
VEH_0093,RJ81EA2631,Toyota,Swift,SYN_P_0140,synthetic
VEH_0094,TS87AF7269,Honda,Innova,SYN_P_0670,synthetic
VEH_0095,UK39TT2578,Kia,Swift,SYN_P_1009,synthetic
VEH_0096,TS26JV9157,Mahindra,City,SYN_P_0536,synthetic
VEH_0097,TN44ZR9955,Maruti Suzuki,Seltos,SYN_P_0065,synthetic
VEH_0098,KA16MO6153,Kia,Bolero,SYN_P_0907,synthetic
VEH_0099,TS05BF5965,Toyota,Creta,SYN_P_1007,synthetic
VEH_0100,KA18JW7374,Mahindra,Seltos,SYN_P_0225,synthetic
VEH_0101,WB87PV9837,Honda,Bolero,SYN_P_0975,synthetic
VEH_0102,TN21QB7412,Tata,Bolero,SYN_P_0774,synthetic
VEH_0103,WB87LY5660,Tata,Swift,SYN_P_0058,synthetic
VEH_0104,WB06EL6715,Kia,Innova,SYN_P_0056,synthetic
VEH_0105,MP44MD8014,Tata,Nexon,SYN_P_0844,synthetic
VEH_0106,GJ08VH5056,Hyundai,Innova,SYN_P_0640,synthetic
VEH_0107,WB11WC5995,Maruti Suzuki,Nexon,SYN_P_0348,synthetic
VEH_0108,DL69KB8551,Toyota,Seltos,SYN_P_0866,synthetic
VEH_0109,WB66NI1334,Toyota,Bolero,SYN_P_0046,synthetic
VEH_0110,GJ49SM6282,Honda,Swift,SYN_P_1001,synthetic
VEH_0111,UP89VG6504,Mahindra,City,SYN_P_0696,synthetic
VEH_0112,UK79JL8143,Hyundai,Bolero,SYN_P_0155,synthetic
VEH_0113,TN28JI1778,Tata,City,SYN_P_0824,synthetic
VEH_0114,RJ80XC2552,Honda,Nexon,SYN_P_0560,synthetic
VEH_0115,UP73ZQ8786,Mahindra,Creta,SYN_P_0712,synthetic
VEH_0116,UP84JQ5913,Mahindra,Innova,SYN_P_0642,synthetic
VEH_0117,RJ54MI9443,Mahindra,Innova,SYN_P_0370,synthetic
VEH_0118,DL81WQ4056,Honda,Bolero,SYN_P_0437,synthetic
VEH_0119,MP96OI9728,Kia,City,SYN_P_0889,synthetic
VEH_0120,WB94UB9556,Hyundai,Nexon,SYN_P_0948,synthetic
VEH_0121,UK31EX5919,Kia,Bolero,SYN_P_0841,synthetic
VEH_0122,GJ09UG7757,Tata,Seltos,SYN_P_0588,synthetic
VEH_0123,MP21IV4868,Mahindra,Creta,SYN_P_0233,synthetic
VEH_0124,UK25AH6087,Mahindra,Bolero,SYN_P_0894,synthetic
VEH_0125,KA83BG3610,Tata,Creta,SYN_P_0060,synthetic
VEH_0126,MH36VR3883,Toyota,Seltos,SYN_P_0087,synthetic
VEH_0127,BR63ZA1906,Kia,Swift,SYN_P_0643,synthetic
VEH_0128,WB39CN6954,Toyota,Innova,SYN_P_0185,synthetic
VEH_0129,KA93EH2833,Honda,Innova,SYN_P_1025,synthetic
VEH_0130,UP67VS9605,Tata,Bolero,SYN_P_0185,synthetic
VEH_0131,RJ77DY6134,Tata,Seltos,SYN_P_0799,synthetic
VEH_0132,BR96HN4571,Hyundai,Swift,SYN_P_0359,synthetic
VEH_0133,RJ36ON5166,Kia,City,SYN_P_0115,synthetic
VEH_0134,TS69LW2850,Tata,City,SYN_P_0868,synthetic
VEH_0135,TS88HI3374,Tata,Bolero,SYN_P_0754,synthetic
VEH_0136,MH03UT1570,Kia,Innova,SYN_P_0112,synthetic
VEH_0137,BR86HI7302,Tata,Innova,SYN_P_0744,synthetic
VEH_0138,MP16RH8248,Mahindra,Swift,SYN_P_0805,synthetic
VEH_0139,MH39CY4857,Tata,Creta,SYN_P_0329,synthetic
VEH_0140,TS81KZ7656,Kia,Swift,SYN_P_0562,synthetic
VEH_0141,UP63PX7765,Kia,Nexon,SYN_P_0866,synthetic
VEH_0142,UP21WI9295,Maruti Suzuki,Nexon,SYN_P_0862,synthetic
VEH_0143,WB94RX6353,Mahindra,Innova,SYN_P_0057,synthetic
VEH_0144,DL83UF8264,Kia,Innova,SYN_P_0279,synthetic
VEH_0145,DL52GU6006,Tata,City,SYN_P_0169,synthetic
VEH_0146,UP21HQ3131,Kia,City,SYN_P_0841,synthetic
VEH_0147,GJ58PX3187,Tata,Creta,SYN_P_0671,synthetic
VEH_0148,MH26CN7022,Hyundai,Bolero,SYN_P_0773,synthetic
VEH_0149,WB29AA4747,Maruti Suzuki,Bolero,SYN_P_0407,synthetic
VEH_0150,MH90FB7570,Honda,Bolero,SYN_P_0533,synthetic
VEH_0151,UK12LF2922,Maruti Suzuki,Innova,SYN_P_0892,synthetic
VEH_0152,TS87PD4677,Toyota,Creta,SYN_P_0391,synthetic
VEH_0153,MH37XP7259,Hyundai,Bolero,SYN_P_0424,synthetic
VEH_0154,WB28JX4102,Mahindra,Creta,SYN_P_0837,synthetic
VEH_0155,UK04JI4858,Honda,Bolero,SYN_P_0509,synthetic
VEH_0156,GJ75VU8506,Maruti Suzuki,Swift,SYN_P_0961,synthetic
VEH_0157,UK42WM4476,Toyota,Bolero,SYN_P_0867,synthetic
VEH_0158,BR77IC2561,Honda,Swift,SYN_P_0107,synthetic
VEH_0159,GJ31PL1745,Maruti Suzuki,Nexon,SYN_P_1034,synthetic
VEH_0160,WB49JM7076,Hyundai,City,SYN_P_0085,synthetic
VEH_0161,WB23IF9253,Mahindra,Nexon,SYN_P_0959,synthetic
VEH_0162,UK12KW9690,Mahindra,Creta,SYN_P_0534,synthetic
VEH_0163,UP41BE9179,Kia,Seltos,SYN_P_0576,synthetic
VEH_0164,BR47NJ5312,Honda,Seltos,SYN_P_0541,synthetic
VEH_0165,TN41NF6169,Toyota,Bolero,SYN_P_0310,synthetic
VEH_0166,TN85UZ8208,Maruti Suzuki,Creta,SYN_P_0305,synthetic
VEH_0167,DL30FB8704,Tata,Creta,SYN_P_0957,synthetic
VEH_0168,KA15PB8233,Tata,Innova,SYN_P_0994,synthetic
VEH_0169,TS64DX3425,Maruti Suzuki,Nexon,SYN_P_0192,synthetic
VEH_0170,RJ37FF9335,Kia,Nexon,SYN_P_0435,synthetic
VEH_0171,WB01QY3958,Mahindra,Swift,SYN_P_0505,synthetic
VEH_0172,TS87DK1425,Tata,Innova,SYN_P_0250,synthetic
VEH_0173,KA48SD6300,Hyundai,Swift,SYN_P_0167,synthetic
VEH_0174,TS91VP8439,Toyota,Nexon,SYN_P_0012,synthetic
VEH_0175,GJ06UT8423,Tata,Innova,SYN_P_0265,synthetic
VEH_0176,RJ07ZU5635,Tata,Seltos,SYN_P_0114,synthetic
VEH_0177,BR10RT7248,Maruti Suzuki,Bolero,SYN_P_0523,synthetic
VEH_0178,UK31YM2461,Maruti Suzuki,Seltos,SYN_P_0427,synthetic
VEH_0179,UK50YM5668,Toyota,Seltos,SYN_P_0316,synthetic
VEH_0180,UP39PZ8083,Toyota,Seltos,SYN_P_0636,synthetic
VEH_0181,MP78EL2574,Kia,Nexon,SYN_P_0410,synthetic
VEH_0182,TS58MP5398,Honda,City,SYN_P_0867,synthetic
